Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000254,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,63645572,Montrieurs Rijswijk B.V.,Nederland,Limpergstraat,14,,2288AD,RIJSWIJK ZH,,Nederland,170405,ijzer en staal,ijzer,A02,Overslag / opbulken,N,N,N
087970000256,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,J
087970000256,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,J
087970000261,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27220505,Prins Mechanisatie B.V.,Nederland,Tuindersweg,37,,2676BD,MAASDIJK,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000262,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000263,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223966,Garage van Nierop B.V.,Nederland,Vlotlaan,801,,2681TZ,MONSTER,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000263,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223966,Garage van Nierop B.V.,Nederland,Vlotlaan,801,,2681TZ,MONSTER,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000264,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000264,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000290,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27226187,Loodgietersbedrijf Ben Overgaag B.V.,Nederland,Bovendijk,35,x,2295RV,KWINTSHEUL,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000293,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,85802190,In-Koper,Nederland,Oosterengweg,266,,1212CV,HILVERSUM,,Nederland,170401,"koper, brons en messing",Koper,A02,Overslag / opbulken,N,N,N
087970000297,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27224173,Aad Molenaar Sloopwerken B.V.,Nederland,Lotsweg,10,,2635NB,DEN HOORN ZH,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000297,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27224173,Aad Molenaar Sloopwerken B.V.,Nederland,Lotsweg,10,,2635NB,DEN HOORN ZH,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000308,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,88699625,MH Machines B.V.,Nederland,Barmweg,4,,2651NV,BERKEL EN RODENRIJS,,Nederland,160601,loodaccus,loodaccu''s,A02,Overslag / opbulken,N,N,N
087970000315,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000315,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000317,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68457499,Van Leersum & Zn. B.V.,Nederland,Warmoezenierstraat,23,,2671ZP,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000318,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24165684,Nederlands Loodswezen B.V.,Nederland,Berghaven,16,,3151HB,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000318,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24165684,Nederlands Loodswezen B.V.,Nederland,Berghaven,16,,3151HB,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000319,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,58928049,Sevink Sloopwerken,Nederland,Wit-geellaan,15,,2718AB,ZOETERMEER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000320,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27371717,Gemeente Westland,Nederland,Verdilaan,7,,2671VW,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000320,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27371717,Gemeente Westland,Nederland,Verdilaan,7,,2671VW,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000321,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68257805,Firefly Projects B.V.,Nederland,Leemolen,68,,2678MH,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000322,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27224173,Aad Molenaar Sloopwerken B.V.,Nederland,Lotsweg,10,,2635NB,DEN HOORN ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000322,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27224173,Aad Molenaar Sloopwerken B.V.,Nederland,Lotsweg,10,,2635NB,DEN HOORN ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000323,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,50590391,Wauben Productie B.V.,Nederland,IJzerwerf,13,,2544EP,'S-GRAVENHAGE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000324,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27219131,H. Weterings-Plastics B.V.,Nederland,Galgeweg,42,,2691MG,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000325,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27196160,Wubben Sloopwerken B.V.,Nederland,Overzeelaan,5,,2681RZ,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000325,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27196160,Wubben Sloopwerken B.V.,Nederland,Overzeelaan,5,,2681RZ,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000326,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27237606,"Venéco Automatisering, Telecommunicatie & Beveiliging B.V.",Nederland,Naaldwijkseweg,100,,2291PA,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000326,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27237606,"Venéco Automatisering, Telecommunicatie & Beveiliging B.V.",Nederland,Naaldwijkseweg,100,,2291PA,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000328,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27257269,Lans Zeeland B.V.,Nederland,Maasambacht,2,b,2676CW,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000329,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27230471,Van der Ende Pompen B.V.,Nederland,Aartsdijkweg,23,,2676LE,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000329,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27230471,Van der Ende Pompen B.V.,Nederland,Aartsdijkweg,23,,2676LE,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000330,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27176477,J. van Daalen Orchideeën B.V.,Nederland,Maasdijk,54,A,2691NV,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000330,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27176477,J. van Daalen Orchideeën B.V.,Nederland,Maasdijk,54,A,2691NV,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000332,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,57068135,Topkapel B.V.,Nederland,Westvlietweg,61,D,2491ED,'S-GRAVENHAGE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000333,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,87483025,Tetteroo Handelsonderneming,Nederland,Maasdijk,129,,2676AD,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000333,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,87483025,Tetteroo Handelsonderneming,Nederland,Maasdijk,129,,2676AD,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000334,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24006562,Swartberg Levensmiddelen Fabrieken B.V.,Nederland,Sluisjesdijk,102,,3087AJ,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000334,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24006562,Swartberg Levensmiddelen Fabrieken B.V.,Nederland,Sluisjesdijk,102,,3087AJ,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000336,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24072680,Stena Line B.V.,Nederland,Slachthuisweg,13,,3151XN,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000336,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24072680,Stena Line B.V.,Nederland,Slachthuisweg,13,,3151XN,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000338,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27181092,Onderhouds & Montagebedrijf R. Sommer,Nederland,Heulweg,56,,2295KH,KWINTSHEUL,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000338,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27181092,Onderhouds & Montagebedrijf R. Sommer,Nederland,Heulweg,56,,2295KH,KWINTSHEUL,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000339,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27193383,Handels- en Transportbedrijf RVB 's-Gravenzande B.V.,Nederland,Zeilmakerstraat,6,,2694BS,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000339,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27193383,Handels- en Transportbedrijf RVB 's-Gravenzande B.V.,Nederland,Zeilmakerstraat,6,,2694BS,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000340,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24228074,Machinefabriek A.J. Van Rooyen en Zoon B.V.,Nederland,Pelsertstraat,9,,3044CH,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000340,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24228074,Machinefabriek A.J. Van Rooyen en Zoon B.V.,Nederland,Pelsertstraat,9,,3044CH,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000341,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27213812,Rexnord FlatTop Europe B.V.,Nederland,Einsteinstraat,1,,2691GV,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000341,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27213812,Rexnord FlatTop Europe B.V.,Nederland,Einsteinstraat,1,,2691GV,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000342,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,74458620,Pompen Techniek West B.V.,Nederland,Jan van de Laarweg,30,,2678LH,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000342,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,74458620,Pompen Techniek West B.V.,Nederland,Jan van de Laarweg,30,,2678LH,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000343,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,32101439,Propje Papier Recycling Midden Nederland,Nederland,Nieuwe Havenweg,2,,1216BR,HILVERSUM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000343,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,32101439,Propje Papier Recycling Midden Nederland,Nederland,Nieuwe Havenweg,2,,1216BR,HILVERSUM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000344,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27220505,Prins Mechanisatie B.V.,Nederland,Tuindersweg,37,,2676BD,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000346,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,28029908,Vleeswarenfabriek Persoon B.V.,Nederland,Grachtweg,89,,2161HM,LISSE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000347,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27306307,Patijnenburg B.V.,Nederland,Industriestraat,17,,2671CT,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000347,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27306307,Patijnenburg B.V.,Nederland,Industriestraat,17,,2671CT,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000348,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,69673772,Outboard Shop Rotterdam B.V.,Nederland,Sluisjesdijk,34,,3087AH,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000349,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,73562998,Noorlanden Greenhouse Systems & Supplies B.V.,Nederland,Honderdland,548,,2676LV,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000350,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223966,Garage van Nierop B.V.,Nederland,Vlotlaan,801,,2681TZ,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000350,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223966,Garage van Nierop B.V.,Nederland,Vlotlaan,801,,2681TZ,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000352,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,63645572,Montrieurs Rijswijk B.V.,Nederland,Limpergstraat,14,,2288AD,RIJSWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000352,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,63645572,Montrieurs Rijswijk B.V.,Nederland,Limpergstraat,14,,2288AD,RIJSWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000353,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,67732283,Moerman Lilium B.V.,Nederland,Kanaalweg,4,b,2678LX,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000354,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,28067677,Aannemingsbedrijf Maarten van Rijn B.V.,Nederland,De Scheysloot,81,,2201GN,NOORDWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000356,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27106589,Mario's Metalen,Nederland,Dophei,5,,2498BA,'S-GRAVENHAGE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000357,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24025781,Firma Metalimex,Nederland,Overschieseweg,68,,3044EG,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000357,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24025781,Firma Metalimex,Nederland,Overschieseweg,68,,3044EG,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000358,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,55711162,Lek Betonbewerking B.V.,Nederland,Barwoutswaarder,89,a,3449HK,WOERDEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000359,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,88699625,MH Machines B.V.,Nederland,Barmweg,4,,2651NV,BERKEL EN RODENRIJS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000359,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,88699625,MH Machines B.V.,Nederland,Barmweg,4,,2651NV,BERKEL EN RODENRIJS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000360,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,17273187,ML Opleidingen B.V.,Nederland,Anjerlaan,52,,2671KJ,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000361,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,67340636,"Stichting Vrienden van zorgboerderij ""De Lingehof""",Nederland,Tiendweg,13,,4152GC,RHENOY,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000363,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27194586,Kiek van de Kamp B.V.,Nederland,Buijs Ballotstraat,11,bu 4,2693BD,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000365,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27144638,Koppert Machines en Zonen B.V.,Nederland,Vlotlaan,616,,2681TX,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000365,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27144638,Koppert Machines en Zonen B.V.,Nederland,Vlotlaan,616,,2681TX,MONSTER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000366,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27218510,Coöperatieve Inkoopvereniging Ha-Co U.A.,Nederland,Leehove,70,,2678MC,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000366,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27218510,Coöperatieve Inkoopvereniging Ha-Co U.A.,Nederland,Leehove,70,,2678MC,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000367,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,66454239,Handelsonderneming 010,Nederland,James Wattweg,4,,3133KK,VLAARDINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000368,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,84485361,GH Installatietechniek,Nederland,Leehove,79,,2678MB,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000370,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68378114,Holland Licht B.V.,Nederland,Buijs Ballotstraat,8,,2693BE,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000370,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68378114,Holland Licht B.V.,Nederland,Buijs Ballotstraat,8,,2693BE,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000371,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27217019,Hordijk EPS Verpakkingen en Isolatieproducten B.V.,Nederland,Rotterdamseweg,248,,2628AS,DELFT,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000372,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,61224405,Huisman Scherming B.V.,Nederland,Leehove,39,,2678MA,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000375,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24269544,Blacon Fabrications B.V.,Nederland,Reedijk,7,D,3274KE,HEINENOORD,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000376,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,89337735,Bos Flowers & Orchids,Nederland,Vredebestlaan,59,a,2685AN,POELDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000377,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27194394,Protec Netherlands B.V.,Nederland,Industrieweg,87,,2651BC,BERKEL EN RODENRIJS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000377,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27194394,Protec Netherlands B.V.,Nederland,Industrieweg,87,,2651BC,BERKEL EN RODENRIJS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000379,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000379,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,81092237,Deforma B.V.,Nederland,Zernikestraat,4,,2665JJ,BLEISWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000380,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27318476,Djons B.V.,Nederland,De Derde Hoeve,30,,2676CS,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000380,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27318476,Djons B.V.,Nederland,De Derde Hoeve,30,,2676CS,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000381,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,61861561,Powergrid Solutions B.V.,Nederland,Hoefsmid,3,,2292JJ,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
