Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000049,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,32101439,Propje Papier Recycling Midden Nederland,Nederland,Nieuwe Havenweg,2,,1216BR,HILVERSUM,,Nederland,170401,"koper, brons en messing","koper, brons en messing",A02,Overslag / opbulken,N,N,N
087970000050,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,160601,loodaccus,accu,A02,Overslag / opbulken,N,N,N
087970000050,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,160601,loodaccus,accu,A02,Overslag / opbulken,N,N,N
087970000051,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170407,gemengde metalen,Raffineer,A02,Overslag / opbulken,N,N,N
087970000051,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,,3449HK,WOERDEN,,Nederland,170407,gemengde metalen,Raffineer,A02,Overslag / opbulken,N,N,N
087970000072,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,16027808,Gaming Support B.V.,Nederland,Industrieweg,29,,3044AS,ROTTERDAM,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000072,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,16027808,Gaming Support B.V.,Nederland,Industrieweg,29,,3044AS,ROTTERDAM,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000080,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,50590391,Wauben Productie B.V.,Nederland,IJzerwerf,13,,2544EP,'S-GRAVENHAGE,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000085,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,50590391,Wauben Productie B.V.,Nederland,IJzerwerf,13,,2544EP,'S-GRAVENHAGE,,Nederland,170407,gemengde metalen,RVS,A02,Overslag / opbulken,N,N,N
087970000092,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000092,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000105,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,52554481,Bas van den Ende Recycling B.V.,Nederland,Nieuw Oranjekanaal,75,,3151XL,HOEK VAN HOLLAND,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000105,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,52554481,Bas van den Ende Recycling B.V.,Nederland,Nieuw Oranjekanaal,75,,3151XL,HOEK VAN HOLLAND,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000109,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27218510,Coöperatieve Inkoopvereniging Ha-Co U.A.,Nederland,Leehove,70,,2678MC,DE LIER,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000109,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27218510,Coöperatieve Inkoopvereniging Ha-Co U.A.,Nederland,Leehove,70,,2678MC,DE LIER,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000110,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,160601,loodaccus,accu,A02,Overslag / opbulken,N,N,N
087970000116,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,74458620,Pompen Techniek West B.V.,Nederland,Jan van de Laarweg,30,,2678LH,DE LIER,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000121,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,74458620,Pompen Techniek West B.V.,Nederland,Jan van de Laarweg,30,,2678LH,DE LIER,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
